iter	Logloss
0	0.6785871152
1	0.6637118409
2	0.6499614752
3	0.6373952247
4	0.6249560063
5	0.6124628811
6	0.6002448199
7	0.5882831513
8	0.5772603576
9	0.5664885851
10	0.5557311265
11	0.5452532252
12	0.535367873
13	0.5257843008
14	0.5158357784
15	0.5063835524
16	0.4973198311
17	0.4882484929
18	0.4798393266
19	0.4715200856
20	0.4632280579
21	0.4549432891
22	0.4471210225
23	0.439517045
24	0.4323242736
25	0.4250342439
26	0.4181896309
27	0.4115549708
28	0.4051540149
29	0.3984473984
30	0.3924853607
31	0.3866124665
32	0.3807629137
33	0.374824986
34	0.3690441023
35	0.3634364277
36	0.3580379494
37	0.3530547545
38	0.3484236639
39	0.3435744624
40	0.339121291
41	0.3343129556
42	0.3296721591
43	0.3255461874
44	0.321481739
45	0.3175636202
46	0.3136047973
47	0.3099193607
48	0.3060230253
49	0.3026177102
50	0.299075353
51	0.2955543284
52	0.2918887772
53	0.2881848541
54	0.2851711734
55	0.2820606972
56	0.2790242945
57	0.2758296941
58	0.2729971135
59	0.2702094458
60	0.2677386944
61	0.2652042462
62	0.2627169156
63	0.2602637178
64	0.2578080293
65	0.2552604249
66	0.2528717402
67	0.2506522322
68	0.2482253195
69	0.246039629
70	0.2438170379
71	0.2417315917
72	0.2395531939
73	0.2375256601
74	0.2356777598
75	0.2338411347
76	0.2319159067
77	0.2302969815
78	0.2287200057
79	0.226792125
80	0.2253221921
81	0.2237236184
82	0.2219552432
83	0.2203488164
84	0.2190193859
85	0.2174369506
86	0.2159822586
87	0.2145005068
88	0.2129162447
89	0.2110813875
90	0.2097401546
91	0.2082913005
92	0.2069103975
93	0.2054836006
94	0.2042851703
95	0.2030313153
96	0.2018629906
97	0.2007182004
98	0.199429941
99	0.1983960979
100	0.1972699629
101	0.196127844
102	0.195028894
103	0.1936467887
104	0.1927451929
105	0.1917277444
106	0.1909413603
107	0.1900197018
108	0.1889299165
109	0.1880273929
110	0.1870259921
111	0.1861576537
112	0.1852299182
113	0.18449533
114	0.1836256842
115	0.1829253883
116	0.1820119042
117	0.1813539655
118	0.1805280649
119	0.179993705
120	0.1795188346
121	0.1788613914
122	0.1780357756
123	0.1771172041
124	0.1764888796
125	0.1757451056
126	0.1750554464
127	0.1742485996
128	0.1735639423
129	0.1730082683
130	0.1722400254
131	0.1716760467
132	0.1711351496
133	0.1703727868
134	0.1696333134
135	0.1691634977
136	0.1687689194
137	0.1681490319
138	0.1675927263
139	0.1671470941
140	0.1664825969
141	0.1659314185
142	0.1652353664
143	0.1645025402
144	0.164106889
145	0.1633969774
146	0.1626466203
147	0.161991843
148	0.1613476004
149	0.160810039
150	0.1604114004
151	0.1598772331
152	0.1592378782
153	0.1589788349
154	0.158499996
155	0.1579451617
156	0.1574402708
157	0.1570559447
158	0.1567481278
159	0.1560785685
160	0.1556167421
161	0.1551884986
162	0.1549019211
163	0.1543120203
164	0.1538498588
165	0.1533571175
166	0.1530008798
167	0.152549048
168	0.1520871975
169	0.1515166599
170	0.1511139782
171	0.1506911039
172	0.1502819296
173	0.1498021105
174	0.1493882377
175	0.1489633195
176	0.148436591
177	0.147959866
178	0.1474971357
179	0.1471015098
180	0.1467534232
181	0.1462869128
182	0.1460339715
183	0.145724306
184	0.1453186394
185	0.1447895138
186	0.1445691521
187	0.1442527765
188	0.1439429174
189	0.1436930956
190	0.1432473343
191	0.1429629593
192	0.1427022072
193	0.1424520443
194	0.142220964
195	0.1418902279
196	0.1415336421
197	0.141230738
198	0.1410031727
199	0.1406498848
200	0.1403491067
201	0.1400217947
202	0.1397014028
203	0.1394589864
204	0.1391736387
205	0.1389310026
206	0.1386811153
207	0.1384007495
208	0.1380521674
209	0.1378123752
210	0.1375380398
211	0.1373212361
212	0.1370183682
213	0.1366075827
214	0.1362871074
215	0.1359096197
216	0.1356843023
217	0.1354189049
218	0.1351336662
219	0.1349029056
220	0.1346022427
221	0.1343302122
222	0.1338249331
223	0.1336823548
224	0.1334821655
225	0.1333494827
226	0.1330290451
227	0.1328127302
228	0.1325705107
229	0.1322221658
230	0.1319901631
231	0.1316615855
232	0.1313988802
233	0.1311205725
234	0.1308450073
235	0.1305010693
236	0.1302655404
237	0.1300656982
238	0.1295751812
239	0.1294277789
240	0.1289752498
241	0.1287362292
242	0.1285016206
243	0.1281501293
244	0.1279921618
245	0.1276034049
246	0.1273433689
247	0.1271686877
248	0.1269052775
249	0.1265657285
250	0.1260952128
251	0.125883543
252	0.1257081907
253	0.1255341906
254	0.125319682
255	0.1252160639
256	0.1250758776
257	0.1249786043
258	0.1245693198
259	0.1241168867
260	0.1239106045
261	0.1236229584
262	0.1235263862
263	0.1234496595
264	0.1231561878
265	0.1230023051
266	0.1227498376
267	0.1224809204
268	0.1222202438
269	0.1220717925
270	0.1218905072
271	0.1217578432
272	0.1215461105
273	0.1214247228
274	0.1212556778
275	0.1211183156
276	0.1209056189
277	0.1207837314
278	0.1206591388
279	0.1203799661
280	0.1202348924
281	0.1201574162
282	0.1198792688
283	0.1197019191
284	0.1194765497
285	0.1191701474
286	0.1190479653
287	0.1185531514
288	0.1183936803
289	0.1180838904
290	0.1179091185
291	0.1178339384
292	0.1177054879
293	0.1174483198
294	0.1171566046
295	0.116908531
296	0.1167509236
297	0.116540557
298	0.1164255991
299	0.1161362296
300	0.1159366679
301	0.115824954
302	0.115615422
303	0.1154484228
304	0.1152948437
