iter	Passed	Remaining
0	161	161667
1	163	81604
2	165	54931
3	166	41529
4	168	33523
5	169	28150
6	171	24314
7	172	21438
8	174	19201
9	175	17418
10	177	15955
11	178	14735
12	180	13705
13	181	12815
14	183	12045
15	184	11372
16	186	10777
17	187	10247
18	189	9776
19	190	9352
20	192	8966
21	193	8616
22	195	8303
23	196	8010
24	198	7740
25	199	7492
26	201	7261
27	202	7046
28	204	6847
29	206	6661
30	207	6485
31	208	6320
32	210	6166
33	211	6021
34	213	5884
35	214	5756
36	216	5634
37	217	5518
38	219	5410
39	221	5306
40	222	5207
41	224	5112
42	225	5022
43	227	4935
44	228	4855
45	230	4775
46	231	4699
47	233	4626
48	234	4559
49	236	4495
50	238	4430
51	239	4368
52	241	4308
53	242	4251
54	244	4199
55	245	4145
56	247	4092
57	248	4042
58	250	3995
59	252	3949
60	253	3905
61	255	3868
62	257	3825
63	258	3785
64	260	3746
65	261	3707
66	263	3669
67	265	3634
68	266	3598
69	268	3564
70	269	3530
71	271	3497
72	272	3464
73	274	3432
74	275	3401
75	277	3371
76	278	3341
77	280	3313
78	281	3285
79	283	3258
80	284	3232
81	286	3206
82	287	3180
83	289	3155
84	290	3131
85	292	3107
86	293	3083
87	295	3061
88	297	3041
89	298	3019
90	300	2998
91	301	2977
92	303	2957
93	304	2936
94	306	2917
95	307	2897
96	309	2878
97	310	2861
98	312	2842
99	313	2825
100	315	2808
101	317	2791
102	318	2774
103	320	2757
104	321	2741
105	323	2725
106	324	2709
107	326	2694
108	327	2678
109	329	2665
110	331	2651
111	332	2637
112	334	2623
113	335	2609
114	337	2595
115	338	2582
116	340	2568
117	341	2555
118	343	2542
119	344	2529
120	346	2516
121	347	2503
122	349	2491
123	350	2479
124	352	2466
125	354	2456
126	355	2445
127	357	2433
128	358	2423
129	360	2412
130	362	2401
131	363	2391
132	365	2379
133	366	2368
134	368	2359
135	369	2349
136	371	2339
137	372	2329
138	374	2319
139	375	2309
140	377	2299
141	378	2289
142	380	2280
143	382	2271
144	384	2264
145	385	2257
146	387	2248
147	388	2239
148	390	2231
149	392	2224
150	394	2216
151	395	2208
152	398	2203
153	399	2196
154	401	2189
155	403	2184
156	405	2176
157	407	2170
158	409	2164
159	411	2158
160	413	2152
161	415	2147
162	416	2140
163	418	2132
164	420	2125
165	421	2119
166	423	2112
167	425	2105
168	427	2101
169	429	2099
170	433	2099
171	436	2099
172	439	2098
173	441	2097
174	444	2096
175	448	2097
176	450	2093
177	451	2086
178	453	2079
179	454	2072
180	456	2066
181	458	2060
182	460	2056
183	462	2050
184	464	2044
185	474	2074
186	475	2068
187	477	2061
188	478	2054
189	480	2047
190	481	2040
191	484	2038
192	485	2031
193	487	2026
194	489	2020
195	490	2014
196	492	2007
197	494	2001
198	496	1997
199	497	1991
200	499	1986
201	501	1980
202	503	1975
203	504	1969
204	506	1964
205	508	1958
206	509	1952
207	511	1946
208	512	1940
209	514	1935
210	516	1930
211	517	1924
212	519	1919
213	521	1914
214	522	1909
215	524	1904
216	526	1900
217	528	1894
218	529	1889
219	531	1885
220	533	1879
221	535	1875
222	536	1870
223	538	1865
224	540	1861
225	542	1856
226	543	1851
227	545	1846
228	547	1842
229	548	1837
230	550	1832
231	551	1827
232	553	1823
233	555	1818
234	557	1813
235	558	1808
236	560	1804
237	562	1801
238	564	1798
239	566	1794
240	569	1792
241	570	1787
242	572	1783
243	574	1778
244	576	1775
245	577	1771
246	579	1767
247	581	1763
248	583	1758
249	584	1754
250	586	1750
251	588	1745
252	589	1741
253	591	1737
254	593	1734
255	595	1730
256	597	1726
257	598	1722
258	604	1730
259	606	1727
260	608	1723
261	610	1719
262	612	1715
263	613	1711
264	615	1706
265	616	1702
266	618	1698
267	620	1695
268	622	1691
269	624	1687
270	626	1684
271	628	1681
272	629	1677
273	631	1673
274	633	1669
275	635	1665
276	636	1661
277	638	1658
278	640	1654
279	641	1650
280	643	1646
281	645	1642
282	646	1638
283	648	1634
284	649	1629
285	651	1627
286	653	1623
287	655	1619
288	656	1615
289	658	1611
290	659	1607
291	661	1603
292	662	1599
293	664	1595
294	666	1592
295	668	1591
296	670	1587
297	672	1583
298	674	1580
299	675	1576
300	677	1572
301	678	1568
302	680	1565
303	681	1561
304	683	1557
305	684	1553
306	686	1549
307	688	1546
308	689	1542
309	691	1538
310	692	1534
311	694	1530
312	695	1527
313	698	1525
314	699	1521
315	701	1517
316	702	1513
317	704	1510
318	705	1506
319	707	1502
320	708	1499
321	710	1495
322	711	1491
323	713	1488
324	714	1484
325	716	1481
326	718	1478
327	719	1475
328	721	1471
329	723	1468
330	724	1464
